全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,郵便番号,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,地域,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
100000,2024ES000001,小鷲町市民サービスセンター,コシラサギチョウシミンサービスセンター,,999999,0,000-0000,大鷲県シラサギ市白鷺町字山瀬,大鷲県,シラサギ市,白鷺町字山瀬,,,34.072568,134.571645,,0000-00-0000,,,,,0,,,1,,,,1,,,,1,575,北部,,https://demo.ss-proj.org/hinanjo-docs/,,,
100000,2024ES000002,小鷲西地域活動センター,コシラサギニシチイキカツドウセンター,,999999,1,000-0001,大鷲県シラサギ市白鷺町字山瀬,大鷲県,シラサギ市,白鷺町字山瀬,,,34.071022,134.569323,,0000-00-0000,,,,,1,,,,,,1,,,,,1,1375,北部,,https://demo.ss-proj.org/hinanjo-docs/,,,
100000,2024ES000003,小鷲東地域活動センター,コシラサギヒガシチイキカツドウセンター,,999999,2,000-0002,大鷲県シラサギ市白鷺町字山瀬,大鷲県,シラサギ市,白鷺町字山瀬,,,34.066887,134.569984,,0000-00-0000,,,,,2,,,1,,,,1,,,,1,850,北部,,https://demo.ss-proj.org/hinanjo-docs/,,,
100000,2024ES000004,小鷲北交流館,コシラサギキタコウリュウカン,,999999,3,000-0003,大鷲県シラサギ市小鷺町石井,大鷲県,シラサギ市,小鷺町石井,,,34.064161,134.574289,,0000-00-0000,,,,,3,,,,,,1,,,,,1,825,東部,,https://demo.ss-proj.org/hinanjo-docs/,,,
100000,2024ES000005,シラサギ地域活動センター,シラサギチイキカツドウセンター,,999999,4,000-0004,大鷲県シラサギ市小鷺町石井,大鷲県,シラサギ市,小鷺町石井,,,34.065344,134.575514,,0000-00-0000,,,,,4,,,,1,,,,,,,1,525,東部,,https://demo.ss-proj.org/hinanjo-docs/,,,
100000,2024ES000006,白鷺城展望台,シラサギジョウテンボウダイ,,999999,5,000-0005,大鷲県シラサギ市小鷺町石井,大鷲県,シラサギ市,小鷺町石井,,,34.063566,134.577798,,0000-00-0000,,,,,5,,,,1,,,,,,,1,1625,東部,,https://demo.ss-proj.org/hinanjo-docs/,,,
100000,2024ES000007,シラサギ防災交流センター,シラサギボウサイコウリュウセンター,,999999,6,000-0006,大鷲県シラサギ市南鷺町字中野,大鷲県,シラサギ市,南鷺町字中野,,,34.064719,134.577481,,0000-00-0000,,,,,6,,,,,,1,,,,,1,125,南部,,https://demo.ss-proj.org/hinanjo-docs/,,,
100000,2024ES000008,小鷲地域活動センター,シラサギチイキカツドウセンター,,999999,7,000-0007,大鷲県シラサギ市南鷺町字中野,大鷲県,シラサギ市,南鷺町字中野,,,34.065466,134.577055,,0000-00-0000,,,,,7,,,,,,1,,,,,1,600,南部,,https://demo.ss-proj.org/hinanjo-docs/,,,
100000,2024ES000009,小しらさぎ南公民館,コシラサギミナミコウミンカイ,,999999,8,000-0008,大鷲県シラサギ市南鷺町字中野,大鷲県,シラサギ市,南鷺町字中野,,,33.974649,134.560032,,0000-00-0000,,,,,8,,,,1,,,,,,,1,625,南部,,https://demo.ss-proj.org/hinanjo-docs/,,,
100000,2024ES000010,シラサギ市立中学校,シラサギシリツチュウガッコウ,,999999,9,000-0009,大鷲県シラサギ市南鷺町字中野,大鷲県,シラサギ市,南鷺町字中野,,,34.066298,134.580335,,0000-00-0000,,,,,9,,,1,,,,1,,,,1,5500,南部,,https://demo.ss-proj.org/hinanjo-docs/,,,
