name,code
"宗谷支庁北部","135"
"宗谷支庁南部","136"
"上川支庁北部","125"
"上川支庁中部","126"
"上川支庁南部","127"
"留萌支庁中北部","130"
"留萌支庁南部","131"
"北海道利尻礼文","139"
"日高支庁西部","150"
"日高支庁中部","151"
"日高支庁東部","152"
"胆振支庁西部","145"
"胆振支庁中東部","146"
"檜山支庁","110"
"渡島支庁北部","105"
"渡島支庁東部","106"
"渡島支庁西部","107"
"網走支庁網走","140"
"網走支庁北見","141"
"網走支庁紋別","142"
"根室支庁北部","165"
"根室支庁中部","166"
"根室支庁南部","167"
"釧路支庁北部","160"
"釧路支庁中南部","161"
"十勝支庁北部","155"
"十勝支庁中部","156"
"十勝支庁南部","157"
"北海道奥尻島","119"
"空知支庁北部","120"
"空知支庁中部","121"
"空知支庁南部","122"
"石狩支庁北部","100"
"石狩支庁中部","101"
"石狩支庁南部","102"
"後志支庁北部","115"
"後志支庁東部","116"
"後志支庁西部","117"
"青森県津軽北部","200"
"青森県津軽南部","201"
"青森県三八上北","202"
"青森県下北","203"
"秋田県沿岸北部","230"
"秋田県沿岸南部","231"
"秋田県内陸北部","232"
"秋田県内陸南部","233"
"岩手県沿岸北部","210"
"岩手県沿岸南部","211"
"岩手県内陸北部","212"
"岩手県内陸南部","213"
"宮城県北部","220"
"宮城県南部","221"
"宮城県中部","222"
"山形県庄内","240"
"山形県最上","241"
"山形県村山","242"
"山形県置賜","243"
"福島県中通り","250"
"福島県浜通り","251"
"福島県会津","252"
"茨城県北部","300"
"茨城県南部","301"
"栃木県北部","310"
"栃木県南部","311"
"群馬県北部","320"
"群馬県南部","321"
"埼玉県北部","330"
"埼玉県南部","331"
"埼玉県秩父","332"
"東京都23区","350"
"東京都多摩東部","351"
"東京都多摩西部","352"
"神津島","354"
"伊豆大島","355"
"新島","356"
"三宅島","357"
"八丈島","358"
"小笠原","359"
"千葉県北東部","340"
"千葉県北西部","341"
"千葉県南部","342"
"神奈川県東部","360"
"神奈川県西部","361"
"長野県北部","420"
"長野県中部","421"
"長野県南部","422"
"山梨県東部","410"
"山梨県中・西部","411"
"山梨県東部・富士五湖","412"
"静岡県伊豆","440"
"静岡県東部","441"
"静岡県中部","442"
"静岡県西部","443"
"愛知県東部","450"
"愛知県西部","451"
"岐阜県飛騨","430"
"岐阜県美濃東部","431"
"岐阜県美濃中西部","432"
"三重県北部","460"
"三重県中部","461"
"三重県南部","462"
"新潟県上越","370"
"新潟県中越","371"
"新潟県下越","372"
"新潟県佐渡","375"
"富山県東部","380"
"富山県西部","381"
"石川県能登","390"
"石川県加賀","391"
"福井県嶺北","400"
"福井県嶺南","401"
"滋賀県北部","500"
"滋賀県南部","501"
"京都府北部","510"
"京都府南部","511"
"大阪府北部","520"
"大阪府南部","521"
"兵庫県北部","530"
"兵庫県南東部","531"
"兵庫県南西部","532"
"兵庫県淡路島","535"
"奈良県","540"
"和歌山県北部","550"
"和歌山県南部","551"
"岡山県北部","580"
"岡山県南部","581"
"広島県北部","590"
"広島県南東部","591"
"広島県南西部","592"
"島根県東部","570"
"島根県西部","571"
"島根県隠岐","575"
"鳥取県東部","560"
"鳥取県中部","562"
"鳥取県西部","563"
"徳島県北部","600"
"徳島県南部","601"
"香川県東部","610"
"香川県西部","611"
"愛媛県東予","620"
"愛媛県中予","621"
"愛媛県南予","622"
"高知県東部","630"
"高知県中部","631"
"高知県西部","632"
"山口県北部","700"
"山口県東部","701"
"山口県西部","702"
"福岡県福岡","710"
"福岡県北九州","711"
"福岡県筑豊","712"
"福岡県筑後","713"
"大分県北部","750"
"大分県中部","751"
"大分県南部","752"
"大分県西部","753"
"長崎県北部","730"
"長崎県南西部","731"
"長崎県島原半島","732"
"長崎県対馬","735"
"長崎県壱岐","736"
"長崎県五島","737"
"佐賀県北部","720"
"佐賀県南部","721"
"熊本県阿蘇","740"
"熊本県熊本","741"
"熊本県球磨","742"
"熊本県天草・芦北","743"
"宮崎県北部平野部","760"
"宮崎県北部山沿い","761"
"宮崎県南部平野部","762"
"宮崎県南部山沿い","763"
"鹿児島県薩摩","770"
"鹿児島県大隅","771"
"鹿児島県十島村","774"
"鹿児島県甑島","775"
"鹿児島県種子島","776"
"鹿児島県屋久島","777"
"鹿児島県奄美北部","778"
"鹿児島県奄美南部","779"
"沖縄県本島北部","800"
"沖縄県本島中南部","801"
"沖縄県久米島","802"
"沖縄県大東島","803"
"沖縄県宮古島","804"
"沖縄県石垣島","805"
"沖縄県与那国島","806"
"沖縄県西表島","807"
