都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,URL,設置主体,定員,対象年齢[受入],対象年齢[最終],休園日,開所時間,閉所時間,教育標準開始時間,教育標準終了時間,延長保育の有無,延長保育[朝の開始時間],延長保育[夕方の終了時間],延長保育[利用料],延長保育[特記事項],満3歳児保育,備考,保育料,給食・お弁当,その他保護者負担額,特色/PR,方針,保護者の活動,送迎方法,駐車場,未就園児対象の行事,ひと言
221309,A122210000970,静岡県,浜松市,浜松市立南の星幼稚園,ハママツシリツミナミノホシヨウチエン,4300837,南区,浜松市南区西島町1148-1,,34.662642,137.768259,(053)425-2836,minaminohoshi-k@city.hamamatsu-szo.ed.jp,浜松市,60,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,なし,,,,,なし,,保育料（1号認定）,"給食（外注昼食） 週3回 / 持参弁当 週2回
アレルギー対応：あり
給食費 284円/食・360円/食
","【毎月】
絵本代 PTA会費 教材費 行事費
1,000円～2,000円程度
【その他】
園服 クラス帽子  かばん  防災用品  保育用品  保険料",南の星小学校と園舎がつながっており、自由に行き来ができるようになっています。小学校のお兄さんお姉さんに絵本を読んでもらったり、一緒に遊んでもらったりなどの交流を行っています。また、本園は、いろいろな国の子どもたちがいます。その中で、一緒に遊んだり生活したりすることを楽しんでいます。,園目標を「かがやく子～どの子も大好きなことがいっぱいある幼稚園～」重点目標を『ぐんぐん(体づくり)』『にこにこ（心づくり）』『わくわく（夢中で遊ぶ・伝える力』とし、保育をしています。遊びを通して、相手を思いやる気持ち、我慢する気持ち、友達の良さを認め合うなど友達と一緒に育ち合う場を大切にしています。,"PTA役員
ボランティア活動
サークル活動","集団徒歩通園
保護者による個別送迎",なし,未就園児プレクラス（ふれあい遊び　原則として毎月第2火曜日実施）,「おはよう」の声が園内に響き渡り、みんなが笑顔になって気持ちのいい一日が始まります。できなかったことができ、笑顔になる、みんなから祝福されて笑顔になる。笑顔になれる魔法がいっぱい詰まった与進幼稚園を誇りに思うと同時に、この幼稚園に関わることができ、幸せに思います。
221309,A122210000989,静岡県,浜松市,浜松市立和田幼稚園,ハママツシリツワダヨウチエン,4350017,東区,浜松市東区薬師町291,,34.725416,137.783205,(053)421-2942,wada-k@city.hamamatsu-szo.ed.jp,浜松市,80,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,なし,,,,,なし,,保育料（1号認定）,"給食（外注昼食） 週3回 / 持参弁当 週2回
アレルギー対応：あり（要相談）
給食費 325円/食 年間92食予定
（3期に分けての支払い）
","【毎月】
絵本代 PTA会費 教材費 集会費 アルバム代（年長のみ）
1,000円～2,000円程度
【入園時】
体操服 クラス帽子 かばん 防災用品 保育用品
22,000円程度
【年間一括、その他】
保険料200円　
写真代（入園卒園時） 800円　
行事費 6,000円程度",隣接している小学校と交流を行ったり、地域の安間川公園や田んぼ、神社に出掛け、四季折々の遊びを楽しんだりしています。また、地域の方のご協力のもと、稲や野菜作り、お茶会、しめ縄作り等、地域や日本の伝統文化に触れる体験もできます。,園目標『心も体もたくましい子』を願い、戸外で心と体を動かして遊ぶ体験を重視しています。健康や安全な生活をするための基礎づくり、相手を認め合いながら遊びを楽しむ仲間関係、いろいろなことに気付く感性が育つようにしています。また、明るく温かみがあり、地域や保護者から愛される幼稚園を目指しています。,"PTA役員
ボランティア活動
サークル活動",保護者による個別送迎,PTA借用駐車場あり,"未就園児サークル（かんがるーのポッケ）（5月～2月、月1回程度）
入園説明会・相談会（5月）
園庭解放（保育日　午前11時～午後1時）
見学・参加できる行事（運動会・クリスマス会・豆まき会等）",少人数だからこそ、子供も保護者も互いに「仲良し」なれる笑顔溢れる毎日です。PTA活動もお母さん同士が協力し合い、和気あいあい楽しく進めています。元気な挨拶と笑い声の絶えない、明るい幼稚園です。
221309,A122210000998,静岡県,浜松市,浜松市立与進幼稚園,ハママツイチリツヨシンヨウチエン,4350051,東区,浜松市東区市野町2404-1,,34.741713,137.770633,(053)421-1442,yoshin-k@city.hamamatsu-szo.ed.jp,浜松市,120,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,7:30,18:30,8:20,14:00,あり,7:30,18:30,7:30～開園　100円降園～14:30　150円、以後1時間ごと100円,長期休業中7:30～18:30,なし,,保育料（1号認定）,"給食（外注昼食） 週2回 / 持参弁当 週3回
アレルギー対応：要相談
給食費 315円/食・325円/食
","【毎月】
絵本代 PTA会費 教材費
1,000円～2,000円程度
【その他】
クラス帽子  かばん  防災用品  保育用品  保険料  遠足代 教育振興費 アルバム代","1000坪の広い敷地に、様々な遊具や大きな土山、季節を感じる樹木があり、四季を通じて五感を刺激する環境が整っています。地域の学校との交流が盛んで、与進小学校、与進北小学校で小学生と交流をさせてもらったり、与進中学校のお兄さん、お姉さんが体験実習に来てくれて、触れ合いを楽しんだりします。
花を種から育てたり、季節の野菜を育てたりする活動も楽しんでいます。幼稚園の畑で収穫した野菜を使ってクッキング体験をして、食育にも力を入れています。地域の和菓子屋さんとお団子作りをしたり、お茶会では、お茶の作法やおもてなしの心を教えていただいたりして、豊かな体験を大切にしています。",「おひさまだいすき」「ともだちだいすき」「あそびがだいすき」大好きをいっぱいにため込んで自己肯定感をもった心豊かな子を育みます。「できるできるきっとできる」を合言葉に一人一人の可能性を信じ、寄り添いながら愛情いっぱいに育てます。子ども・保護者・教師・地域が愛情と信頼の絆を深め、みんなが支え合う温かい園を目指しています。,"PTA役員
ボランティア活動","集団徒歩通園
保護者による個別送迎",あり,"体験入園（6・9月）
一日入園（12・1・2・3月）
見学・参加出来る行事（運動会・秋祭り）",園児の数が多くないので、親同士・子ども同士も“みんな知り合い”という雰囲気です。園長先生もPTAのお母様たちとわきあいあいとしています。小学校と隣接しているので、小学校に入学しても慣れているので安心ではないか、と思います。日々の遊びも、子ども達の自主性を重視していると感じました。地域のイベントへの参加も多く、地域との触れ合いに積極的です。
221309,A122210001005,静岡県,浜松市,浜松市立豊西幼稚園,ハママツイチリツトヨニシヨウチエン,4313102,東区,浜松市東区豊西町1551,,34.766179,137.804139,(053)434-1259,toyonishi-k@city.hamamatsu-szo.ed.jp,浜松市,90,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,7:30,18:30,8:30,14:00,あり,7:30,18:30,7:30～開園　100円降園～14:30　150円、以後1時間ごと100円,長期休業中7:30～18:30（実施除外期間あり）,なし,,保育料（1号認定）,"給食（外注昼食） 週2回 / 持参弁当 週3回
アレルギー対応：要相談
給食費 325円/食・363円/食 
","【毎月】
絵本代 PTA会費 教材費 教育振興費
1,000円～2,000円程度
【その他】
クラス帽子  かばん  防災用品  保育用品  保険料","豊西幼稚園は、田畑・川・神社に囲まれた自然豊かな地域にあります。緑に囲まれた広い園庭では泥んこ遊びや体を動かして遊んだり、畑で野菜を栽培したり、川遊びをしたりして体も心も豊かな「豊西っ子」を育てています。
また、敷地隣にある豊西小との交流はもちろん、笠井中学校区の幼小中学生など、地域の子どもたちとの触れ合いも大切にしています。",園目標を「元気いっぱい　友達いっぱい　豊西大好きな子」として、「元気もりもり」（体を動かして遊ぶ、基本的な生活習慣を身に付ける）「友達にこにこ」（友達と一緒に遊ぶことを楽しむ中で思いやりの心、規範意識を育てる）「豊西わくわく」（試したり考えたりしてじっくり遊び、地域の自然や人との触れ合いの中で、地域の良さを味わい、豊西大好きな子を育てる）を合言葉に安心して子どもを任せられる温かな幼稚園を目指しています。,"PTA役員
ボランティア活動","集団徒歩通園
保護者による個別送迎",あり,"未就園児プレクラス（かるがも 月1回実施）
入園説明会（６月）
１日入園（12月・2月）
見学・参加できる行事（運動会）",幼稚園で過ごす子どもたちと、かかわる機会に恵まれています。自然と素敵なママ友の輪が広がっています。
221309,A122210001014,静岡県,浜松市,浜松市立笠井幼稚園,ハママツシリツカサイヨウチエン,4313107,東区,浜松市東区笠井町478-1,,34.770805,137.795198,(053)434-1205,kasai-k@city.hamamatsu-szo.ed.jp,浜松市,80,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,なし,,,,,なし,,保育料（1号認定）,"給食（外注昼食） 週2回 / 持参弁当 週3回
アレルギー対応：あり
給食費 325円/食
","【毎月】
絵本代 PTA会費 教材費 アルバム代(年長のみ)
1,000円～2,000円程度
【年間一括、その他】
園服 体操服 クラス帽子  かばん  防災用品  保育用品  保険料","・遊びを中心とし、総合的な学びを助長します。
・地域に根差した幼稚園（保・幼・小・中・高・地域の方との交流）",一人一人の成長に丁寧に向き合い「確かな幼児理解」を根幹に据え、保育に取り組む。,"PTA役員
ボランティア活動",保護者による個別送迎,なし,"未就園児プレクラス（こあら組　毎月第2または第3水曜日実施、1日入園12・1月）
入園説明会（5・6月）
見学は随時可（事前に電話連絡）
園庭開放（毎日14:30～15:30） ","子供たちが元気いっぱい走り回ることができる広い園庭には、大きなくすのきがあり、自然があふれています。地域のたくさんの方々が子供たちのために協力してくださり、とても環境に恵まれた幼稚園です。
園の様子をお知りになりたい方はブログをご覧ください。"
221309,A122210001023,静岡県,浜松市,浜松市立中ノ町幼稚園,ハママツイチリツナカノマチヨウチエン,4350004,東区,浜松市東区中野町427-1,,34.729296,137.793537,(053)421-3873,nakanomachi-k@city.hamamatsu-szo.ed.jp,浜松市,70,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,なし,,,,,なし,,保育料（1号認定）,"給食（外注昼食） 週3回 / 持参弁当 週1回 / おにぎり 週1回
アレルギー対応：要相談
給食費（外注昼食希望者）8,000円程度/1学期 3学期は6,000円程度
","【毎月】
絵本代 PTA会費 教材費 おやつ代
1,300円程度
【入園時】
体操服 その他
14,000円程度
【その他】
保険料 200円 
行事費積立 1,000円×5か月
アルバム代（年中・年長）3,100円×6か月",広い園庭には、子どもにとって魅力的な遊具がたくさんあり、草花を使った遊びや、バッタやコオロギ等の虫取り等、自然体験もたっぷりできます。園内にある畑では、様々な農作物を育てており、収穫や料理体験も子供たちの楽しみの一つです。また、地域の方との触れ合いや地元の特色を保育に活かし、つよい子・やさしい子・考える子を育てています。,"園目標　「たくましく　のびのび育て　中ノ町っ子」
重点目標「つよい子・やさしい子・考える子」
具体策　４つのプランを基に進めています。
モリモリプラン　：心も体も健康な子に
ワイワイプラン　：先生や友達との遊びを楽しむ子に
ドキドキプラン　：深く・広く学ぶ子に
ヤッタネ！プラン：保護者と共に子どもたちの成長を喜んで","PTA役員
ボランティア活動
サークル活動","集団徒歩通園
保護者による個別送迎
その他 （園にお問い合わせください）",PTA借用駐車場あり,"未就園児プレクラス（ばんびクラブ、年間10回程度実施）
入園説明会（5・6・7月）
園庭開放（毎週木曜日 午前10時～11時）
見学・参加出来る行事（運動会）","・夏には、園庭で土山にトンネルを掘って泥んこ遊びをしたり、季節に合わせた先生方の工夫があって子どもが毎日とても楽しく通っています。
・伸び伸びとした生活で個性を大切にしてくれるので安心です。"
221309,A122210001032,静岡県,浜松市,浜松市立芳川幼稚園,ハママツシリツホウガワヨウチエン,4300813,南区,浜松市南区芳川町190,,34.693024,137.765326,(053)461-5642,hogawa-k@city.hamamatsu-szo.ed.jp,浜松市,70,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,なし,,,,,なし,,保育料（1号認定）,"給食（外注昼食） 週2回 / 持参弁当 週3回
アレルギー対応：要相談
給食費 325円/食 約2,700円/月
","【毎月】
絵本代 PTA会費 教材費
1,000円～2,000円程度
【その他】
園服 クラス帽子  かばん  防災用品  保育用品  保険料  遠足代","芳川小学校、南陽中学校が近隣にあり、運動会などの行事に参加する等、小・中学生との交流ができます。
運動教室、サッカー・テニス教室などを取り入れ、体を動かす遊びを十分に楽しみ、元気な体作りをしています。
泥んこ遊び、栽培・飼育活動、季節の行事など、自然や本物に触れる体験を大切にしています。",笑顔・信頼・つながりを大切にし、心が通い合う幼稚園を目指しています。「一人一人に丁寧にかかわり育てる」という教育の原点を大切にし、子どもたちにとって幼稚園が安心して自分を出し、友達との生活や遊びを楽しむ場となるようにします。家庭、地域と連携を深め、「自分が大好き、みんなも大好き」な子を育てます。,"PTA役員
ボランティア活動
サークル活動","保護者による個別送迎
その他 （園にお問い合わせください）",PTA借用駐車場あり,"入園説明会（6～9月）
見学・参加出来る行事（夏祭り、運動会）","・季節行事が沢山あり、その中で地域の人との触れ合いがあるので、子どもたちもとても楽しそうです。
・先生方は子供一人一人の事をよく考えてくれます。お母さんの悩みや子育ての相談もしやすいです。
・随時、幼稚園を開放してくれているので、子ども達の生き生きとした笑顔がいつでも観る事ができて嬉しいです。"
221309,A122210001041,静岡県,浜松市,浜松市立花川幼稚園,ハママツシリツハナカワヨウチエン,4338109,中区,浜松市中区花川町1908-1,,34.774167,137.687319,(053)436-1209,hanakawa-k@city.hamamatsu-szo.ed.jp,浜松市,30,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,なし,,,,,なし,,保育料（1号認定）,"給食（外注昼食） 週3回 / 持参弁当 週2回
アレルギー対応：要相談
給食費 250円/食
","【毎月】
絵本代 PTA会費 教材費 行事費
1,000円～2,000円程度
【その他】
クラス帽子  かばん  防災用品  保育用品  保険料","・広い園庭、プール、畑があり、園の近くには花川運動公園やバラ苑があります。恵まれた環境を生かし、一年を通じて身近な自然に触れることを大切に、子供たちの豊かな感性や好奇心を育てています。
・隣接小学校、保育園、視覚特別支援学校、地域の方との交流も盛んに行っています。","[園目標］自分らしく輝き、たくましく遊ぶ子
・遊びをとおして友達と関わりながら、社会性・自立心・協同性・道徳性・豊かな感性など、人として必要な基礎の力が身につくよう、個に応じた支援をします。
・家庭と連携し、一人一人の育ちを確認しながら基本的な生活習慣が身につくようにします。
・隣接する小学校と連携を図り、幼稚園から小学校への滑らかな接続ができるようにします。
・地域の施設や人々と交流し、地域に愛される幼稚園を目指します。","PTA役員
ボランティア活動",保護者による個別送迎,近隣駐車場あり,"未就園児プレクラス（ひまわりキッズ、年10回実施）
園庭開放（毎週水曜日 午前10時～11時30分）
見学・参加出来る行事（随時）",幼・小・中・高とのかかわりが多く、地域と共に子どもたちが、伸び伸びと育っています。元気いっぱいの幼稚園です！
221309,A122210001050,静岡県,浜松市,浜松市立三方原幼稚園,ハママツイチリツミカタハラヨウチエン,4338105,北区,浜松市北区三方原町284-7,,34.774566,137.710838,(053)436-2516,mikatahara-k@city.hamamatsu-szo.ed.jp,浜松市,70,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,なし,,,,,なし,,保育料（1号認定）,"給食（外注昼食） 週3回 / おにぎり弁当 週2回
アレルギー対応：要相談
給食費 250円/食・390円/食 
","【毎月】
絵本代 PTA会費 教材費
1,030円
【その他】
体操服 クラス帽子  かばん  防災用品  保育用品  保険料","○異年齢児が交流し合って遊んだり、生活したりする中で、思いやりの心を育てています。
○三方原中央児童遊園地へ出掛け、虫探しや木の実拾いを通して四季の自然を感じながら遊びます。
○自分たちで季節の野菜を育て、収穫したり、味わったりして楽しみます。
〇園外の畑まで歩いて出掛け、体力づくりと交通ルールを身に付けます。
○地域の小学校・中学校とのつながりを大切にしています。
","○園目標「すこやかな子」に向けて、「元気がいっぱい、友達がいっぱい、思いがいっぱいの子」を育てます。
○一人一人が育つための確かな子ども理解に努めます。
○発達に応じた環境や援助の工夫をします。
○基本的な生活習慣の定着を図ります。
○豊かな心が育つための体験や行事を実施します。","PTA役員
ボランティア活動",保護者による個別送迎,近隣駐車場あり,"園庭開放（年間15回程度実施）
入園説明会（6月、9月他　園庭開放時に質問等受付）
見学・参加出来る行事（運動会） ",たくさんの緑と温かな地域の方々に囲まれた園です。お母さん同士の交流もあり、小学校へ入学した後も悩みを相談できます。3年間を通して、親子で成長できますよ！
221309,A122210001069,静岡県,浜松市,浜松市立豊岡幼稚園,ハママツシリツトヨオカヨウチエン,4338103,北区,浜松市北区豊岡町22,,34.786989,137.71942,(053)436-2155,toyooka-k@city.hamamatsu-szo.ed.jp,浜松市,130,3歳児,就学前まで,土・日・祝日・夏・冬・春休み,8:30,14:00,8:30,14:00,なし,,,,,なし,,保育料（1号認定）,"給食（外注昼食） 週2回 / 持参弁当 週3回
アレルギー対応：あり
給食費 250円/食 323円/食
","【毎月】
絵本代 PTA会費 教材費 おやつ代
1,000円～2,000円程度
【その他】
園服 体操服 クラス帽子  かばん  防災用品  保育用品  保険料",自然豊かな広い園庭と高い築山が自慢の幼稚園。はじける笑顔と歓声が溢れる元気いっぱいの子どもが主役の幼稚園です。様々な遊びや地域環境を活用した体験活動を通して、豊かな感性や知的好奇心を高め、創造力や思考力などの芽生えを育みます。また、集団生活や隣接する小中学校との交流活動を通して、自分らしさを大切にしながら人とかかわる力を育てます。,"・心身ともに「すこやかな子」の育成を目指し、「元気いっぱい」「やさしさいっぱい」「アイディアいっぱい」を重点目標に設定し保育します。
・「幼稚園が楽しい」と感じられる、子どもにとって「通いたくなる幼稚園」「遊びたくなる幼稚園」を目指します。
・子育て支援に努め、保護者の皆様方にとって「通わせたくなる幼稚園」を目指します。","PTA役員
ボランティア活動",保護者による個別送迎,あり,"未就園児サークル（ひまわりぐみ、月3回程度）
入園説明会（5・6月）、見学随時
地域公開日（年3回程度）、園庭開放（未就園児サークル開催日）
見学・参加出来る行事（運動会・ひまわり交流（在園児との交流））",中区唯一の公立幼稚園で花川以外の地区から通う子も多くいます。ボランティアなどで園行事に参加し、子どもとの楽しい時間をたくさん共有することができ良い経験をさせてもらったと思っています。
