都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,設置主体,定員,分類,対象年齢[受入],対象年齢[最終],休園日,教育標準開始時間,教育標準終了時間,入所に必要な認定区分,延長保育の有無,延長保育[朝の開始時間],延長保育[夕方の終了時間],延長保育[利用料],延長保育[特記事項],備考,入園料等,保育料,給食・お弁当,その他保護者負担額,特色/PR,方針,保護者の活動,送迎方法,駐車場,未就園児対象の行事,ひと言
221309,31501,静岡県,浜松市,天王幼稚園,テンノウヨウチエン,4350052,東区,浜松市東区天王町943,,34.734067,137.776417,(053)421-6979,(学)相生学園,300,新制度移行済園,満3歳,就学前,土・日・祝日、夏・冬・春休み,10:00,14:00,1号認定（3歳以上）,あり（8時間・200日以上の要件を満たす）,8:00,17:30,朝1回100円 午後1回450円,長期休み 8:00～17:30 半日600円、1回900円,,"【入園料】 20,000円～40,000円（年齢による）（無償化対象外）","保育料（1号認定）
https://www.hamamatsu-pippi.net/docs/2015022500085/
※満3歳以上は幼児教育・保育無償化の対象です。","給食（外注弁当）週4回/ 持参弁当 週1回
アレルギー対応：要相談
給食費3,300円/月（うち、副食費2,500円/月）
※給食費の無償化対象について
https://www.hamamatsu-pippi.net/docs/2019082600198/","【毎月】
通園送迎費 教材費 施設費 
5,000～6,000円
【入園時】
園服 体操服 
【年間一括、その他】
 PTA会費 ","強く、明るく、賢い子を育てます。
教師の育ての心は、『楽しくなければ幼稚園ではない』を合言葉に、親切・熱心・公平を大事にした保育を心がけています。　","・日常生活に必要な基本的な態度と習慣を養います。
・運動を通して基礎的な体力と気力を育てます。
・友だちと仲良く、助け合える人間関係能力を育てます。
・考える力や創造する知性を育てます。",,"通園バス
保護者による個別送迎",あり,"体験入園（入園前に2日間）
入園説明会（6月頃）
園庭開放（午前10時～午後2時）事前に連絡があれば随時可　
見学・参加出来る行事（運動会・夏祭りなど）",園長先生が運動あそびを指導してくれるので、苦手な子も楽しく運動ができ、心も体も大きく成長させてくれます。また、先生たちの笑顔もとっても素敵！子どもたちはみんな幼稚園が大好きです！年中さんから始めるハーモニカ、初めはバラバラでなかなか音も出ないけれど、夏になる頃には音も揃ってきて、園の前を通ると優しい音色が聞こえてくるのも天王幼稚園ならではだと思います。
221309,31570,静岡県,浜松市,海の星鷺の宮幼稚園,ウミノホシサギノミヤヨウチエン,4313113,東区,浜松市東区大瀬町27-32,,34.754759,137.76469,(053)434-0051,(学)浜松海の星学院,180,新制度移行済園,満3歳,就学前,土・日・祝日、夏・冬・春休み,9:00,14:00,1号認定（3歳以上）,あり（8時間・200日以上の要件を満たす）,8:00,18:00,朝は無料　料金は利用時間による,"長期休み 8:00～17:00 1,000～1,400円 ",,"【入園準備金】
10,000円（無償化対象外）","保育料（1号認定）
https://www.hamamatsu-pippi.net/docs/2015022500085/
※満3歳以上は幼児保育・保育無償化の対象です。","給食（外注弁当）週3回/ 持参弁当 週2回
アレルギー対応：要相談
給食費2,900円/月（うち、副食費2,175円/月） ","【毎月】
通園送迎費
1,000～2,000円 
【入園時】
教材費 園服 体操服 
【その他】
絵本代 保護者会費 保険料 ",いっぱい遊んで、幼稚園をあげて盛りあがるおまつりごっこ！その反面、お話を聞く時の集中力のすごさ！このメリハリのある活動が大きな特色です。人の話をきちんと聞き、自分の意見を伝える力が身につきます。 ,カトリックの教えを基本とした心の教育に重点をおいています。自分をだいすきになれる子は自信をもちます。自信をもった子は何事にも耐え、挑戦できる強い子になります。強くてやさしい心の子ども、それが当園の理念です。 ,"PTA役員
ボランティア活動
サークル活動","通園バス
集団徒歩通園
保護者による個別送迎",あり,"未就園児プレクラス（年20回実施　ほしのこくらぶ）
入園説明会（6・7・8月）
園庭開放（毎週火曜日）
見学・参加出来る行事（運動会ごっこ） 
",落ち着いて話を聞け、下級生のお世話もよくみてくれる子どもが育ちます。また、子どもだけでなく、保護者にも心に花を咲かせてくれるあたたかい幼稚園です。冷暖房完備で、1年を通して過ごしやすいです。
221309,31876,静岡県,浜松市,旭ヶ丘幼稚園,アサヒガオカヨウチエン,4338112,北区,浜松市北区初生町1139,,34.771431,137.730995,(053)437-4873,(学)浜松平和学園,440,新制度移行済園,3歳児,就学前,土・日・祝日、夏・冬・春休み,10:00,14:00,1号認定（3歳以上）,あり（8時間・200日以上の要件を満たす）,7:00,18:00,10分20円（※朝は無料）,長期休み 7:00～18:00 10分20円 ,,"【受入準備金】
10,000円（無償化対象外） ","保育料（1号認定）
https://www.hamamatsu-pippi.net/docs/2015022500085/
※満3歳以上は幼児教育・保育無償化の対象です。 ","自由注文 週5回（給食または持参弁当）
アレルギー対応：なし
給食費300円/食（うち、副食費120円/食） ","【毎月】
通園送迎費 教材費 施設費
5,000～6,000円 
【その他】
園服 体操服 保険料 ","「心を大事にした人づくり教育」
・きめ細かな保育
・園行事の充実
・人間形成の基礎の育成 ","教育目標「明るく、たくましく、やる気のある子」
・明るいあいさつのできる子
・夢中になって遊び込める子
・最後までがんばりぬく子 ",PTA役員,"通園バス
保護者による個別送迎",あり,"入園説明会（5,6,7月に実施。それ以降は随時）
園開放（5月～3月　年間10回実施）
見学・参加出来る行事（夏まつり・運動会など） 
","・行事などを通して子どもが段階を追って成長していく姿が実感できるので、保護者としても安心して子どもを預けることができます。
・園児数は多いけれど、どの先生も子どもや保護者の名前を覚えていてくれ、よく声をかけてくれます。
・未就園児への園開放が回数も多くて充実しています。毎回、楽しい活動が行われるので子どもも行くのを楽しみにしています。"
221309,31665,静岡県,浜松市,花園幼稚園,ハナゾノヨウチエン,4310201,西区,浜松市西区篠原町9376,,34.687628,137.658455,(053)447-2336,(学)興福寺学園,360,新制度移行済園,満3歳,"就学前
※2歳児より受け入れ有",土・日・祝日、夏・冬・春休み,10:00,14:00,1号認定（3歳以上）,あり（8時間・200日以上の要件を満たす）,7:30,18:30,朝は無料 ～17:00 1回450円、17:00～18:30 1回300円、18:00以降10分200円,,,,"保育料（1号認定）
https://www.hamamatsu-pippi.net/docs/2015022500085/
※満3歳以上は幼児保育・保育無償化の対象です。","給食（外注弁当）週4回/ 持参弁当 週1回
アレルギー対応：要相談
給食費250円/食（うち、副食費200円/食）
※給食費の無償化対象について
https://www.hamamatsu-pippi.net/docs/2019082600198/","【毎月】
通園送迎費 施設費
4,000～5,000円 
【年間一括、その他】
PTA会費 教材費 園服",一人ひとりの個性を尊重する保育であると共に、自分の気持ちを相手に伝えられる、自分で考えて行動するなど、小学校に向けての生活を少しずつ保育の中に取り入れながら、基本的生活習慣を身に付けることができます。,"・体験活動を豊富にさせ、子どもの持っている能力に期待し大きく育てる 
・豊かな感性を養うと共に健康な身体を育み育てる 
・家庭が子どもによせる期待感や願いを保育に生かし育み育てる",PTA役員,"通園バス
保護者による個別送迎",,"幼稚園説明会（6月頃）
入園説明会（12月頃）
見学・参加出来る行事（夏まつり、作品展）","園庭にビオトープがあり、子どもが自然のなかで元気にあそんでいます。
先生たちが子どもの個性を大切にしてくれるので、のびのびと充実した園生活をおくることが出来ています。"
221309,31461,静岡県,浜松市,松城幼稚園,マツシロヨウチエン,4328014,中区,浜松市中区鹿谷町1-1,,,,(053)452-2088,(学)松城幼稚園,75,新制度移行済園,,,,9:00,14:00,1号認定（3歳以上）,,,,,,,,,,,,,,,,,
221309,31456,静岡県,浜松市,日本文教幼稚園,ニホンブンキョウヨウチエン,4300917,中区,浜松市中区常盤町141-20,,34.710765,137.732584,(053)452-5511,(学)日本文教学園,100,新制度移行済園,満3歳,"就学前
※2歳児より受け入れ有",土・日・祝日、夏・冬・春休み,10:00,14:00,1号認定（3歳以上）,あり（8時間・200日以上の要件を満たす）,7:30,18:30,1時間100円～(利用時間による)、おやつ代90円 ※朝8時30分～10時、午後2時～3時は無料,長期休み 8:00～18:00 半日500円、18:00～18:30 200円、給食代249円(希望者) ,,"【入園準備金】
30,000円（無償化対象外） ","保育料（1号認定）
https://www.hamamatsu-pippi.net/docs/2015022500085/
※満3歳以上は幼児保育・保育無償化の対象です。 ","給食（外注弁当）週5回
アレルギー対応：あり
給食費4,221円/月（うち、副食費2,883円/月） 
","【毎月】
通園送迎費 PTA会費
2,000～3,000円 
【入園時】
園服 体操服 教材費 

","小規模園の特性を活かしたアットホームな幼稚園です。あたたかな雰囲気の中で多くの体験を通し生きる力を培っています。農園体験では 作物を育てたり様々な発見をし目を輝かせながら伸び伸びと活動しています。
また、異年齢での活動を大切にし思いやりの心や優しさを育てています。挨拶・返事・マナーなど生活態度について、家庭と一体となった教育を進めています。 ",好奇心を持って、たくさん遊び、たくさん触れ、たくさん考え、たくさん行動する子に育てていきます。 ,,,あり,"未就園児プレクラス（4月～3月、月1回実施）
入園説明会（6月頃）
見学・参加出来る行事（運動会・夏祭り） ",挨拶をしっかりとすることを指導して下さるところがありがたい。農園をはじめ身体を動かすこと、みんなで協力して活動することなど多様なことに取り組んで下さっています。
221309,31469,静岡県,浜松市,浜松海の星幼稚園,ハママツウミノホシヨウチエン,4328018,中区,浜松市中区蜆塚3-14-3,,34.715142,137.706838,(053)455-3641,(学)浜松海の星学院,174,新制度移行済園,満3歳,就学前,土・日・祝日、夏・冬・春休み,9:00,14:00,1号認定（3歳以上）,あり（8時間・200日以上の要件を満たす）,7:30,18:00,1時間 ※午前7時30分～9時は無料,長期休み 7:30～18:00 1時間200円 ,,"【入園準備金】
10,000円（無償化対象外） ","保育料（1号認定）
https://www.hamamatsu-pippi.net/docs/2015022500085/
※満3歳以上は幼児保育・保育無償化の対象です。","給食（外注弁当）週4回/ 持参弁当 週1回
アレルギー対応：あり
給食費3,300~3,500円/月（うち、副食費2,838～3,038円/月） 
※給食費の無償化対象について
https://www.hamamatsu-pippi.net/docs/2019082600198/","【毎月】
通園送迎費
1,000円
【入園時】
園服 保育用品
【年間一括、その他】
絵本代（希望者のみ） 保護者会費 保険料 ",当園では、一人ひとりが愛され大切な存在である事を感じながら、園生活の中で様々な経験をし、先生や友だちと関わりながら、頑張ろうとする気持ち、チャレンジしようとする気持ち、友だちへの思いやり、全ての事に感謝する気持ちなど、たくさんの心が育ちます。そして、話を聞く事の大切さを知り、考える、工夫するという態度が身につきます。また、基本的な生活習慣と必要な技術を身につける手助けをしていきます。この教育が、小学校生活のベースとなり、少しの事ではへこたれない、人と上手に人間関係を築く事ができる『生きる力』を持った子を育てます。 ,"『心の教育・・・それは心の中に自分らしい花を咲かせる事』
キリスト教精神に基づき、幼児の心に真の愛を刻み「祈る心、愛する心、感謝する心、努力する心」をもって園生活ができるよう、幼児の人格形成に力を注ぎます。 ","PTA役員
ボランティア活動","通園バス
集団徒歩通園
保護者による個別送迎",あり（送迎時の利用）,"未就園児プレクラス（年間20回程　水曜日実施※木曜日の場合あり　名称：つぼみっこ）
体験入園（1月頃）
入園説明会（5・7・9月）
見学、参加できる行事（夕涼み会、運動会など） ","子どもたちのことだけではなく、保護者のことも気にかけてくださり、時に子育て相談にものっていただいたりと、保護者にとっても、とても過ごしやすい幼稚園です。
冷暖房完備の保育室・ホールで、1年を通して過ごしやすく、保護者も安心です。"
221309,31672,静岡県,浜松市,湖東幼稚園,コトウヨウチエン,4311103,西区,浜松市西区湖東町1169-179,,34.762662,137.664544,(053)486-1010,(学)富塚学園,270,新制度移行済園,満3歳,"就学前
※満2歳より受け入れ有",土・日・祝日、夏・冬・春休み,8:30,15:00,1号認定（3歳以上）,あり（8時間・200日以上の要件を満たす）,7:30,17:30,朝30分50円 16:30まで1回300円、以降30分100円 ,長期休み 8:00～16:30 30分80円,,"【受入準備金】
10,000円（無償化対象外）","保育料（1号認定）
https://www.hamamatsu-pippi.net/docs/2015022500085/
※満3歳以上は幼児保育・保育無償化の対象です。 ","給食（自園調理）週4回/ 持参弁当 週1回
アレルギー対応：あり
給食費3,860円/月（うち、副食費2,800円/月）
※給食費の無償化対象について
https://www.hamamatsu-pippi.net/docs/2019082600198/","【毎月】
通園送迎費 絵本代 PTA会費 教育充実費 施設費
3,000～5,100円 
【入園時】
教材費 園服 体操服 
【年間一括、その他】
教材費 保険料","浜名湖を望む緑に囲まれた団地に位置し、四季折々の豊かな自然に接し、豊かな情操を培う環境に恵まれています。 
園内調理による出来立ての温かい給食では、行事食やバイキング給食など、美味しく楽しい献立を取り入れています。",子どもの健康な「心」と「体」の育ちに大切な「食育」を中心に掲げ、自園給食を活用した特色ある保育や、子どもたち自らの栽培活動、クッキングなど、五感を活かした「食」に関わる直接体験を大切にしています。,"PTA役員
ボランティア活動","通園バス
保護者による個別送迎",あり,"未就園児プレクラス（らっこ組／0～1歳、こあら組／2歳、チューリップ組／3歳）
入園説明会（5月頃）
見学・参加出来る行事（運動会・生活発表会・作品展）","大きな園ですが、しつけと言った「学ぶ」部分もきちんと教えてくれますし、先生方は丁寧できめ細かに指導してくれます。
自園給食で、毎日、愛情のこもった給食を頂きます。様々なメニューで工夫されていて、娘も毎朝のように「今日の給食なぁに？」と聞いてくるくらい、園生活の楽しみの大きな一つになっています。"
221309,31882,静岡県,浜松市,三松幼稚園,サンショウヨウチエン,4311414,北区,浜松市北区三ヶ日町三ヶ日432,,,,(053)525-3434,(学)三松学園,96,新制度移行済園,,,,9:30,14:00,1号認定（3歳以上）,,,,,,,,,,,,,,,,,
221309,31677,静岡県,浜松市,浜名幼稚園,ハマナヨウチエン,4310213,西区,浜松市西区舞阪町浜田76,,34.682632,137.615495,(053)592-0850,(学)エイチ・エム・エヌ学園,60,新制度移行済園,満3歳,"就学前
※2歳児より受け入れ有",土・日・祝日、夏・冬・春休み,10:00,14:00,1号認定（3歳以上）,あり（8時間・200日以上の要件を満たす）,8:00,18:00,"30分100円、1回400円、月4,000円","長期休み 8:00～18:00 1回1,000円 ",,,"保育料（1号認定）
https://www.hamamatsu-pippi.net/docs/2015022500085/
※満3歳以上は幼児保育・保育無償化の対象です。 ","自由注文 週5回（給食または持参弁当）
アレルギー対応：要相談
給食費280円/食・350円/食（うち、副食費260～330円/食）","【毎月】
絵本代
300～500円
【入園時】
教材費 体操服等 
【その他】
保険料","情操教育の一環として音楽に力を入れています。
幼児期に触れる音楽で音を聴くことは集中力を高めます。
言語を理解するには聴き取る力が必要になります。
活動を通して仲間づくり、生演奏で表現力を養い、心を豊かにしていきます。 ",明るくたくましく・・・心身ともに健康で何事にも意欲を持って取り組める子、お友達を思いやる心を育てる、また子ども一人一人を見つめる教育に努めています。 ,その他,"通園バス
保護者による個別送迎",あり,"未就園児プレクラス（お問い合わせください）
入園説明会（随時 ※事前に電話連絡）
園庭開放（月～金）
見学・参加出来る行事（運動会、ゆうぎ会、稚魚放流等） 
","子ども同士学年に関係なく仲がよいです。
他のクラスの先生も我が子のことをよく把握してくれていて嬉しく思います。少人数の点、目が行き届きやすく細やかな接し方をしてくれます。"
