ファイル名,フォルダー属性,タイトル,一覧用タイトル,レイアウト,並び順,ページレイアウト,ショートカット,既定のモジュール,キーワード,概要,サマリー,検索条件(URL),リスト並び順,表示件数,NEWマーク期間,ループHTML形式,上部HTML,ループHTML(SHIRASAGI形式),下部HTML,ループHTML(Liquid形式),ページ未検出時表示,代替HTML,カテゴリー設定,公開日時種別,公開日時,管理グループ,ステータス
anzen,category/page,交通安全・防犯・非行防止,,カテゴリー：中間階層 (category-middle.layout.html),10,,非表示,,くらし・手続き,,交通安全や犯罪から身を守る知識や施策について紹介しています。,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
bosai,category/page,防災情報,,カテゴリー：中間階層 (category-middle.layout.html),20,,非表示,,くらし・手続き,,災害や危機管理、消防などに関する情報を紹介しています。,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",非公開
koseki,category/page,戸籍・印鑑登録・住民登録,,カテゴリー：中間階層 (category-middle.layout.html),50,,非表示,,くらし・手続き,,住民票の写しや戸籍など、必要書類の届出・申請方法について紹介しています。,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
nenkin,category/page,年金・保険,,カテゴリー：中間階層 (category-middle.layout.html),60,,非表示,,くらし・手続き,,国民健康保険や国民年金、高齢者医療の制度について紹介しています。,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
shisetsu,facility/node,施設一覧,,施設ガイド (map.layout.html),0,,非表示,,施設ガイド,,,,,100,1,,,,,,,,"文化施設 (institution/shurui/bunka)
公園・公共施設 (institution/shurui/kokyo)
小学校 (institution/shurui/school)
運動施設 (institution/shurui/sports)",手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
library,facility/page,シラサギ市立図書館,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,"施設一覧, 文化施設",,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
bunka,facility/category,文化施設,,施設ガイド (map.layout.html),10,,非表示,,施設の種類,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
asobu,facility/service,遊ぶ,,施設ガイド (map.layout.html),10,,非表示,,施設の用途,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
higashii,facility/location,東区,,施設ガイド (map.layout.html),10,,非表示,,施設のある地域,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
institution,facility/search,施設ガイド,,施設ガイド (map.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,"文化施設 (institution/shurui/bunka)
公園・公共施設 (institution/shurui/kokyo)
小学校 (institution/shurui/school)
運動施設 (institution/shurui/sports)",手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
list,garbage/node,ゴミ品目一覧,,ゴミ品目検索 (garbage.layout.html),0,,非表示,,ゴミ品目検索,,,,,100,1,,,,,,,,"燃えないゴミ (garbage/category/c1)
回収不可 (garbage/category/c10)
燃えるゴミ (garbage/category/c2)
小型家電 (garbage/category/c3)
金属類 (garbage/category/c4)
缶類 (garbage/category/c5)
びん類 (garbage/category/c6)
プラスチック (garbage/category/c7)
古着 (garbage/category/c8)
ダンボール (garbage/category/c9)",手動入力,2024/6/1 6:03,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
item1,garbage/page,紙コップ,,ゴミ品目検索 (garbage.layout.html),0,,非表示,,"ゴミ品目一覧, 燃えるゴミ",,,,,,,,,,,,,,,手動入力,2024/6/1 6:03,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
garbage,garbage/search,ゴミ品目検索,,ゴミ品目検索 (garbage.layout.html),0,,非表示,,自治体サンプル,,,,,100,1,,,,,,,,"燃えないゴミ (garbage/category/c1)
回収不可 (garbage/category/c10)
燃えるゴミ (garbage/category/c2)
小型家電 (garbage/category/c3)
金属類 (garbage/category/c4)
缶類 (garbage/category/c5)
びん類 (garbage/category/c6)
プラスチック (garbage/category/c7)
古着 (garbage/category/c8)
ダンボール (garbage/category/c9)",手動入力,2024/6/1 6:03,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
category,garbage/category_list,品目カテゴリー,,ゴミ品目検索 (garbage.layout.html),0,,非表示,,ゴミ品目検索,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:03,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
c1,garbage/category,燃えないゴミ,,ゴミ品目検索 (garbage.layout.html),10,,非表示,,品目カテゴリー,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:03,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
chatbot,chat/bot,チャットボット,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
docs,article/page,記事,,記事一覧 (more.layout.html),0,記事レイアウト (pages.layout.html),表示,,自治体サンプル,,,,指定順（昇順）,20,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
