ファイル名,フォルダー属性,タイトル,一覧用タイトル,レイアウト,並び順,ページレイアウト,ショートカット,既定のモジュール,キーワード,概要,サマリー,検索条件(URL),リスト並び順,表示件数,NEWマーク期間,ループHTML形式,上部HTML,ループHTML(SHIRASAGI形式),下部HTML,ループHTML(Liquid形式),ページ未検出時表示,代替HTML,カテゴリー設定,公開日時種別,公開日時,管理グループ,ステータス
blog,member/blog,ブログ,,観光情報：下層ページ (kanko-info.layout.html),20,,非表示,,観光情報,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
east,member/blog_page_location,東区,,観光情報：下層ページ (kanko-info.layout.html),10,,非表示,,地域,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
shirasagi,member/blog_page,白鷺太郎のブログ,,ブログレイアウト1 (kanko-info/blog/blog1.layout.html),0,,非表示,,,白鷺太郎のブログです。よろしくお願いしいます。,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
institution,member/photo_category,施設,,観光情報：下層ページ (kanko-info.layout.html),10,,非表示,,カテゴリー,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
search,member/photo_search,検索結果,,観光情報：下層ページ (kanko-info.layout.html),0,,非表示,,写真データベース,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
spot,member/photo_spot,おすすめスポット,,観光情報：下層ページ (kanko-info.layout.html),0,,非表示,,写真データベース,,,,,100,1,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
login,member/login,ログイン,,ログイン (login.layout.html),0,,非表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
mypage,member/mypage,マイページ,,マイページ (mypage.layout.html),0,,非表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
my_blog,member/my_blog,ブログ,,マイページ (mypage.layout.html),20,,非表示,,マイページ,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
my_photo,member/my_photo,フォト,,マイページ (mypage.layout.html),30,,非表示,,マイページ,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
my_group,member/my_group,グループ,,マイページ (mypage.layout.html),50,,非表示,,マイページ,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
registration,member/registration,会員登録,,汎用レイアウト（1カラム） (general.layout.html),0,,非表示,,自治体サンプル,,,,,,,,,,,,,,,手動入力,2024/6/1 6:01,"シラサギ市
シラサギ市/企画政策部
シラサギ市/企画政策部/政策課
シラサギ市/企画政策部/広報課
シラサギ市/危機管理部
シラサギ市/危機管理部/管理課
シラサギ市/危機管理部/防災課",公開
