手続き
"",管理名,表示名,リンク URL,並び順,概要,手続き場所,持ち物,手続き申請者,備考
"",住宅用自然エネルギーシステム設置費補助金制度,住宅用自然エネルギーシステム設置費補助金制度,,10,,シラサギ市役所,"","",地球温暖化防止対策の一環として、住宅用自然エネルギーシステムを設置する市民に対して、その経費の一部を補助します。
"",環境対策支援事業補助金,環境対策支援事業補助金,,20,,シラサギ市役所,"","",再生可能エネルギー等の有効利用の促進と低炭素社会の実現に向けて、環境に配慮した設備の設置・購入経費（リースも含む）の一部を補助します。
"",自立支援型住宅資金助成制度,自立支援型住宅資金助成制度,,30,,シラサギ市役所,"","",安全で快適な生活を営むことが出来るよう生活の自立を支援するため、住宅を改造（リフォーム）する経費に対して助成金を交付します。
"",介護保険受給資格証明書の交付申請,介護保険受給資格証明書の交付申請,,40,,シラサギ市役所,"","",要介護認定・要支援認定を受けている方は、介護保険の受給資格証明書を、引越し先の市区町村役所に提出することで、要介護認定・要支援認定を引き継ぐことができます。
"",重度心身障害者医療費受給者の資格喪失届,重度心身障害者医療費受給者の資格喪失届,,50,,シラサギ市役所,"","",重度心身障害者医療費受給者証を持っている人は、引っ越しの時に手続きが必要です。
"",地元素材奨励金制度,地元素材奨励金制度,,60,,シラサギ市役所,"","",地元素材を使用する新築（購入含む）・増築・改築する市民に対し奨励金を交付します。
"",マイホーム取得奨励金制度,マイホーム取得奨励金制度,,70,,シラサギ市役所,"","",市内への定住人口の増加と地域経済の活性化を促進するため、市内に住宅を新築・購入し生活する人を対象に最大○○万円の奨励金を交付します。
"",地方創生移住支援補助金,地方創生移住支援補助金,,80,,シラサギ市役所,"","",UIJターンにより移住する方へ支援金を支給する制度です。
質問
"",管理名,表示名,説明,並び順,質問の形式,選択肢の形式,選択肢,説明,選択肢の設定
"",ソーラーパネルなど自然エネルギーシステムの設置をしますか？,ソーラーパネルなど自然エネルギーシステムの設置をしますか？,,10,はい・いいえ,一択（ラジオボタン）
"","","","","","","",はい,,"[手続き] 住宅用自然エネルギーシステム設置費補助金制度
[手続き][任意必要] 環境対策支援事業補助金"
"","","","","","","",いいえ,,""
"",介護を要する高齢者及び身体に障がいのある方が自宅にいますか？,介護を要する高齢者及び身体に障がいのある方が自宅にいますか？,,20,選択肢,複数選択（チェックボックス）
"","","","","","","",要介護認定を受けている方がいる,,"[手続き] 自立支援型住宅資金助成制度
[手続き][任意必要] 介護保険受給資格証明書の交付申請"
"","","","","","","",身体に障がいのある方がいる,,"[手続き][任意必要] 自立支援型住宅資金助成制度
[手続き] 重度心身障害者医療費受給者の資格喪失届"
"",地元素材を利用した住居を新築・増築・改築しますか？,地元素材を利用した住居を新築・増築・改築しますか？,,30,はい・いいえ,一択（ラジオボタン）
"","","","","","","",はい,,[手続き] 地元素材奨励金制度
"","","","","","","",いいえ,,""
"",市内に移住されますか？,市内に移住されますか？,,40,はい・いいえ,一択（ラジオボタン）
"","","","","","","",はい,,"[手続き] マイホーム取得奨励金制度
[手続き][任意必要] 地方創生移住支援補助金"
"","","","","","","",いいえ,,""
